Camera TTC
Frame,Shi-Tomasi/BRISK,Shi-Tomasi/ORB,Shi-Tomasi/SIFT,Shi-Tomasi/BRIEF,Shi-Tomasi/FREAK,HARRIS/BRISK,HARRIS/ORB,HARRIS/SIFT,HARRIS/BRIEF,HARRIS/FREAK,FAST/BRISK,FAST/ORB,FAST/SIFT,FAST/BRIEF,FAST/FREAK,BRISK/BRISK,BRISK/ORB,BRISK/SIFT,BRISK/BRIEF,BRISK/FREAK,ORB/BRISK,ORB/ORB,ORB/SIFT,ORB/BRIEF,ORB/FREAK,AKAZE/BRISK,AKAZE/ORB,AKAZE/AKAZE,AKAZE/SIFT,AKAZE/BRIEF,AKAZE/FREAK,SIFT/BRISK,SIFT/SIFT,SIFT/BRIEF,SIFT/FREAK
0-1,-0.299994,14.7283,16.4617,20.173,-0.344046,10.9082,10.9082,10.9082,10.9082,9.74935,10.9082,10.9082,10.9082,10.9082,9.74953,-71.8738,18.7851,16.8233,16.9239,21.8568,19.4124,32.8316,14.8291,13.0822,11.5099,12.9547,13.7368,16.2634,12.8806,14.5476,14.2467,18.818,12.8014,11.4298,18.3759
1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-5,nan,13.0809,13.9097,14.7707,15.9346,34.7543,13.6432,13.5051,44.9166,,34.7543,13.6432,13.5051,44.9166,,50.3311,37.0383,42.5216,25.1759,26.4299,nan,26.7645,16.6455,120.576,31.6989,14.9725,14.9077,17.6773,19.6886,16.2796,15.5943,,45.6293,13.5203,23.136
5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-7,-1.06568,81.8431,37.4804,30.241,42.9291,,,13.497,,15.8978,,,13.497,,15.8978,30.1079,-136.621,18.5793,21.2406,17.2634,26.834,,16.5899,59.8371,,16.9827,16.4258,15.3915,15.7351,15.8833,15.995,18.6517,-0.453139,14.9129,17.0498
7-8,-1.73676,13.5835,22.971,13.7689,-1.14786,39.1512,34.6662,nan,148.059,nan,39.1512,34.6662,nan,148.059,nan,30.7817,25.125,22.3111,22.8903,34.7929,12.7867,10.474,53.0301,55.256,9.69216,15.743,16.0734,14.9006,14.3538,16.178,15.0115,17.4859,-4.55026,15.2247,37.4945
8-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-10,-12.6545,39.5984,125.302,nan,-23.5603,-0.282049,-13.4405,-13.3305,-13.4405,-0.261826,-0.282049,-13.4405,-13.4405,-13.4405,-0.261826,31.9012,27.4258,12.4314,14.1421,25.2608,12.4526,12.709,11.3382,10.8812,nan,11.7102,11.6661,12.0269,12.1755,12.2919,12.232,15.8802,14.2598,9.84712,10.4545
10-11,-92.8066,11.204,12.7102,10.8713,nan,nan,1.49696,11.1552,1.38277,23.627,nan,1.49696,11.1552,1.38277,23.627,37.0691,21.7787,12.0295,11.314,13.1341,8.42544,8.46717,9.34128,11.3124,5.07184,13.011,12.0156,13.0278,12.8704,13.0312,12.1869,15.5794,17.0355,11.2887,14.1559
11-12,nan,11.6048,24.3838,15.242,-1.8984,11.6948,11.6948,12.245,11.6948,11.6948,11.6948,11.6948,12.245,11.6948,11.6948,16.105,16.5224,14.6664,15.8461,14.0556,46.8729,nan,nan,17.7772,54.3098,11.7493,11.5017,12.6781,12.2513,12.9427,11.1252,13.2712,200.131,9.57408,16.477
12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-14,nan,13.2008,12.6463,13.1872,-19.8143,5.66097,-0.196048,12.1403,6.06984,12.1403,5.66097,0.190648,12.1403,6.06984,12.1403,24.513,18.3313,9.94284,11.561,13.4092,9.26013,9.63066,13.7354,9.02494,60.2671,10.5999,10.2174,11.0189,11.7892,10.5822,9.65356,16.0072,54.2641,10.5671,18.0988
14-15,-0.514311,10.1996,11.2961,25.2309,-1.2813,nan,-13.6263,-13.6263,-12.639,nan,nan,-13.6263,-13.6263,-12.639,nan,15.6969,24.2504,14.952,11.4355,14.9521,8.75588,9.59119,25.4267,11.2281,8.68802,9.99178,10.732,11.2038,10.2751,9.79237,10.2153,19.2489,17.5451,8.85712,22.9001
15-16,-0.368922,10.6111,9.33215,11.5948,12.1502,8.64325,9.23765,7.29175,12.6571,8.86241,8.64325,9.23765,7.29175,12.6571,8.86241,18.9165,17.561,11.2031,13.174,10.8073,9.50038,10.0366,11.3898,13.858,11.1021,10.0688,10.4556,10.289,10.4519,10.4556,9.81256,13.088,11.8931,8.91585,15.7258
16-17,13.2711,9.24081,11.8855,11.1687,17.8579,-5.31374,12.6612,12.7384,1.58985,0.354188,-5.31374,12.6612,12.7384,1.58985,0.354188,18.0774,15.0538,13.1469,12.1431,11.244,13.018,22.9293,20.1713,17.0643,nan,9.61157,9.13135,9.08309,9.05731,8.95612,9.38209,12.4105,11.6635,8.20627,9.80008
17-18,-0.814225,10.5152,9.83704,12.3812,nan,0.687055,1.71339,nan,12.8381,nan,0.687055,1.71339,nan,12.8381,nan,23.7586,16.4351,12.3741,9.70608,16.2366,14.6209,20.2115,11.1032,12.7118,47.5163,9.21958,8.96255,9.32856,8.77753,8.70322,8.86155,9.3823,11.1248,9.41174,13.3629
18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
